mm_mass,mm_z,lw_mass,lw_z
541340.0,23.277739,1131900.0,20.992523
861230.0,22.651846,2214600.0,20.500753
1230300.0,22.06273,2755900.0,20.034918
1722500.0,21.512383,3297300.0,19.59308
2780500.0,20.992523,3444900.0,19.177563
3863200.0,20.500753,4306100.0,18.77848
4945900.0,20.034918,4798300.0,18.398642
5930200.0,19.59308,5659500.0,18.03674
6766800.0,19.177563,7037500.0,17.69159
7628000.0,18.77848,9621200.0,17.3621
8636900.0,18.398642,13509000.0,17.047283
9645800.0,18.03674,15478000.0,16.74623
11221000.0,17.69159,25591000.0,14.926104
13115000.0,17.3621,29922000.0,14.703518
15871000.0,17.047283,20522000.0,14.489467
20350000.0,16.74623,23942000.0,14.281174
64814000.0,14.926104,19513000.0,14.080681
76280000.0,14.703518,16806000.0,13.887598
86935000.0,14.489467,10039000.0,13.699397
91979000.0,14.281174,10581000.0,13.5180025
99287000.0,14.080681,9202800.0,13.34103
104630000.0,13.887598,18381000.0,13.170327
110340000.0,13.699397,10975000.0,13.003641
117500000.0,13.5180025,13238000.0,12.84083
123840000.0,13.34103,17864000.0,12.685508
127900000.0,13.170327,251720000.0,12.5318
135780000.0,13.003641,256970000.0,12.383297
144150000.0,12.84083,259600000.0,12.239772
149210000.0,12.685508,261590000.0,12.099293
155050000.0,12.5318,262380000.0,11.961762
157730000.0,12.383297,264990000.0,11.828736
165530000.0,12.239772,276450000.0,11.698413
180100000.0,12.099293,291220000.0,11.57229
188410000.0,11.961762,306470000.0,11.448649
200100000.0,11.828736,318580000.0,11.327416
204190000.0,11.698413,322840000.0,11.210012
209480000.0,11.57229,338340000.0,11.094823
203320000.0,11.448649,343700000.0,10.983224
207190000.0,11.327416,354700000.0,10.872254
213760000.0,11.210012,549780000.0,10.764706
220500000.0,11.094823,369910000.0,10.660448
241090000.0,10.983224,390210000.0,10.558022
256550000.0,10.872254,405490000.0,10.457378
266390000.0,10.764706,411220000.0,10.359763
268240000.0,10.660448,449190000.0,10.262529
267990000.0,10.558022,458790000.0,10.16944
214000000.0,10.457378,454730000.0,10.076651
249190000.0,10.359763,468530000.0,9.986596
235160000.0,10.262529,580150000.0,9.897995
193785000.0,10.16944,470800000.0,9.810811
152410000.0,10.076651,479850000.0,9.726161
174383300.0,9.986596,433740000.0,9.642826
196356700.0,9.897995,377960000.0,9.560777
218330000.0,9.810811,431450000.0,9.481082
112430000.0,9.726161,362530000.0,9.40258
105220000.0,9.642826,346020000.0,9.325245
85803000.0,9.560777,313460000.0,9.249052
49976000.0,9.481082,377220000.0,9.175011
95695000.0,9.40258,479313300.0,9.10101
48376000.0,9.325245,581406700.0,9.029084
37254000.0,9.249052,683500000.0,8.9591675
36516000.0,9.175011,894890000.0,8.88924
37673000.0,9.10101,1110300000.0,8.821253
34203000.0,9.029084,1184067000.0,8.754194
29060000.0,8.9591675,1257833000.0,8.688983
25000000.0,8.88924,1331600000.0,8.623713
32013000.0,8.821253,663540000.0,8.560229
25172000.0,8.754194,748700000.0,8.497578
26280000.0,8.688983,846540000.0,8.435742
25222000.0,8.623713,647230000.0,8.374707
24090000.0,8.560229,554630000.0,8.315324
23893000.0,8.497578,428550000.0,8.256688
22638000.0,8.435742,81257000000.0,8.198786
22687000.0,8.374707,81876000000.0,8.141603
22761000.0,8.315324,82253000000.0,8.085953
23499000.0,8.256688,82969000000.0,8.030976
24434000.0,8.198786,84271000000.0,7.975855
75017000000.0,8.141603,85603000000.0,7.9229946
78981000000.0,8.085953,87617000000.0,7.8699665
82722000000.0,8.030976,88156000000.0,7.8605347
86786000000.0,7.975855,90867000000.0,7.817564
91149000000.0,7.9229946,94602000000.0,7.766547
94826000000.0,7.8699665,97834000000.0,7.716116
95746000000.0,7.8605347,100850000000.0,7.6662617
98578000000.0,7.817564,103940000000.0,7.616976
101790000000.0,7.766547,107830000000.0,7.56898
104830000000.0,7.716116,110930000000.0,7.52079
107940000000.0,7.6662617,114320000000.0,7.473858
111260000000.0,7.616976,117170000000.0,7.4274397
115500000000.0,7.56898,119930000000.0,7.381527
119740000000.0,7.52079,122610000000.0,7.336112
124860000000.0,7.473858,125540000000.0,7.291874
130700000000.0,7.4274397,129070000000.0,7.248103
136770000000.0,7.381527,132740000000.0,7.2041187
142220000000.0,7.336112,137540000000.0,7.165265
146830000000.0,7.291874,137860000000.0,7.1612663
150580000000.0,7.248103,139210000000.0,7.153947
154870000000.0,7.2041187,146200000000.0,7.119519
158590000000.0,7.165265,153720000000.0,7.077544
158850000000.0,7.1612663,160420000000.0,7.036001
159660000000.0,7.153947,166230000000.0,6.995522
162670000000.0,7.119519,170750000000.0,6.9554496
166150000000.0,7.077544,179570000000.0,6.915776
169670000000.0,7.036001,187040000000.0,6.876497
173770000000.0,6.995522,195460000000.0,6.837605
177870000000.0,6.9554496,203910000000.0,6.7990947
181760000000.0,6.915776,212980000000.0,6.7615647
185090000000.0,6.876497,220930000000.0,6.7243934
187990000000.0,6.837605,227430000000.0,6.686986
190840000000.0,6.7990947,233470000000.0,6.651109
194270000000.0,6.7615647,238680000000.0,6.6149864
198680000000.0,6.7243934,244040000000.0,6.579202
202340000000.0,6.686986,250030000000.0,6.5437536
205390000000.0,6.651109,255910000000.0,6.509199
210680000000.0,6.6149864,263230000000.0,6.474959
214630000000.0,6.579202,272610000000.0,6.4404764
218230000000.0,6.5437536,280990000000.0,6.4074073
221750000000.0,6.509199,287110000000.0,6.3740873
225400000000.0,6.474959,293210000000.0,6.3410664
229160000000.0,6.4404764,299550000000.0,6.3083386
233470000000.0,6.4074073,304390000000.0,6.2764316
238100000000.0,6.3740873,309730000000.0,6.2442765
242730000000.0,6.3410664,314190000000.0,6.2129254
247050000000.0,6.3083386,318610000000.0,6.181844
251060000000.0,6.2764316,322940000000.0,6.1510296
255260000000.0,6.2442765,326860000000.0,6.120478
259650000000.0,6.2129254,331130000000.0,6.0901875
263360000000.0,6.181844,335680000000.0,6.0606513
266940000000.0,6.1510296,340240000000.0,6.030865
270080000000.0,6.120478,345590000000.0,6.0018206
273260000000.0,6.0901875,345590000000.0,5.9998603
276010000000.0,6.0606513,,
278710000000.0,6.030865,,
281150000000.0,6.0018206,,
281300000000.0,5.9998603,,
